#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-1537	hsa-miR-1537	hsa-miR-1537	
hsa-miR-154*	hsa-miR-154*	hsa-miR-154*/ mmu-miR-154*	
hsa-miR-154	hsa-miR-154	hsa-miR-154/ mmu-miR-154/ rno-miR-154	
hsa-miR-155	hsa-miR-155	hsa-miR-155	
hsa-miR-155*	hsa-miR-155*	hsa-miR-155*	
hsa-miR-15a*	hsa-miR-15a*	hsa-miR-15a*	
hsa-miR-15a	hsa-miR-15a	hsa-miR-15a/ mmu-miR-15a	
hsa-miR-15b*	hsa-miR-15b*	hsa-miR-15b*/ mmu-miR-15b*	
hsa-miR-15b	hsa-miR-15b	hsa-miR-15b/ mmu-miR-15b/ rno-miR-15b	
hsa-miR-16-1*	hsa-miR-16-1*	hsa-miR-16-1*	
hsa-miR-16-2*	hsa-miR-16-2*	hsa-miR-16-2*	
hsa-miR-16	hsa-miR-16	hsa-miR-16/ mmu-miR-16/ rno-miR-16	
hsa-miR-17	hsa-miR-17	hsa-miR-17	
hsa-miR-17*	hsa-miR-17*	hsa-miR-17*/ rno-miR-17-3p	
hsa-miR-181a*	hsa-miR-181a*	hsa-miR-181a*/ mmu-miR-181a-1*/ rno-miR-181a*	
hsa-miR-181a-2*	hsa-miR-181a-2*	hsa-miR-181a-2*	
hsa-miR-181a	hsa-miR-181a	hsa-miR-181a/ mmu-miR-181a/ rno-miR-181a	
hsa-miR-181b	hsa-miR-181b	hsa-miR-181b	
hsa-miR-181c*	hsa-miR-181c*	hsa-miR-181c*	
hsa-miR-181c	hsa-miR-181c	hsa-miR-181c/ mmu-miR-181c/ rno-miR-181c	
hsa-miR-181d	hsa-miR-181d	hsa-miR-181d/ mmu-miR-181d/ rno-miR-181d	
hsa-miR-182*	hsa-miR-182*	hsa-miR-182*	
hsa-miR-182	hsa-miR-182	hsa-miR-182/ mmu-miR-182/ rno-miR-182	
hsa-miR-1825	hsa-miR-1825	hsa-miR-1825	
hsa-miR-1826	hsa-miR-1826	hsa-miR-1826	
hsa-miR-1827	hsa-miR-1827	hsa-miR-1827	
hsa-miR-183*	hsa-miR-183*	hsa-miR-183*/ mmu-miR-183*	
hsa-miR-183	hsa-miR-183	hsa-miR-183/ mmu-miR-183/ rno-miR-183	
hsa-miR-184	hsa-miR-184	hsa-miR-184/ mmu-miR-184/ rno-miR-184	
hsa-miR-185*	hsa-miR-185*	hsa-miR-185*	
