#ID = Human_miRNA
#miRNA_ID = miRNA symbol (Human)
#Human_miRBase = miRBase ID (Human)
#SPOT_ID = control
ID	miRNA_ID	Human_miRBase	SPOT_ID
hsa-miR-1286	hsa-miR-1286	MIMAT0005877	
hsa-miR-1287	hsa-miR-1287	MIMAT0005878	
hsa-miR-1288	hsa-miR-1288	MIMAT0005942	
hsa-miR-1289	hsa-miR-1289	MIMAT0005879	
hsa-miR-129-1-3p	hsa-miR-129-1-3p	MIMAT0004548	
hsa-miR-129-2-3p	hsa-miR-129-2-3p	MIMAT0004605	
hsa-miR-129-5p	hsa-miR-129-5p	MIMAT0000242	
hsa-miR-1290	hsa-miR-1290	MIMAT0005880	
hsa-miR-1291	hsa-miR-1291	MIMAT0005881	
hsa-miR-1292	hsa-miR-1292	MIMAT0005943	
hsa-miR-1293	hsa-miR-1293	MIMAT0005883	
hsa-miR-1294	hsa-miR-1294	MIMAT0005884	
hsa-miR-1295a	hsa-miR-1295a	MIMAT0005885	
hsa-miR-1295b-3p	hsa-miR-1295b-3p	MIMAT0022294	
hsa-miR-1295b-5p	hsa-miR-1295b-5p	MIMAT0022293	
hsa-miR-1296	hsa-miR-1296	MIMAT0005794	
hsa-miR-1297	hsa-miR-1297	MIMAT0005886	
hsa-miR-1298	hsa-miR-1298	MIMAT0005800	
hsa-miR-1299	hsa-miR-1299	MIMAT0005887	
hsa-miR-1301	hsa-miR-1301	MIMAT0005797	
hsa-miR-1302	hsa-miR-1302	MIMAT0005890	
hsa-miR-1303	hsa-miR-1303	MIMAT0005891	
hsa-miR-1304-3p	hsa-miR-1304-3p	MIMAT0022720	
hsa-miR-1304-5p	hsa-miR-1304-5p	MIMAT0005892	
hsa-miR-1305	hsa-miR-1305	MIMAT0005893	
hsa-miR-1306-3p	hsa-miR-1306-3p	MIMAT0005950	
hsa-miR-1306-5p	hsa-miR-1306-5p	MIMAT0022726	
hsa-miR-1307-3p	hsa-miR-1307-3p	MIMAT0005951	
hsa-miR-1307-5p	hsa-miR-1307-5p	MIMAT0022727	
hsa-miR-130a-3p	hsa-miR-130a-3p	MIMAT0000425	
hsa-miR-130a-5p	hsa-miR-130a-5p	MIMAT0004593	
hsa-miR-130b-3p	hsa-miR-130b-3p	MIMAT0000691	
hsa-miR-130b-5p	hsa-miR-130b-5p	MIMAT0004680	
hsa-miR-132-3p	hsa-miR-132-3p	MIMAT0000426	
hsa-miR-132-5p	hsa-miR-132-5p	MIMAT0004594	
